CÓDIGO CLIENTE;EMPRESA;DIRECCIÓN;POBLACIÓN;TELÉFONO;RESPONSABLE;HISTORIAL
CT01;BELTRÁN E HIJOS;LAS FUENTES 78;MADRID;(914) 45- 64- 35;ANGEL MARTÍNEZ;
CT02;LA MODERNA;LA PALOMA 123;OVIEDO;(985) 32- 34- 34;JUAN GARCÍA;
CT03;EL ESPAÑOLITO;MOTORES 34;BARCELONA;(934) 56- 53- 43;ANA FERNÁNDEZ;
CT04;EXPORTASA;VALLECAS 34;MADRID;(913) 45- 23- 78;ELVIRA GÓMEZ;
CT06;CONFECCIONES AMPARO;LOS MOROS 23;GIJÓN;(985) 75- 43- 32;LUÍS ÁLVAREZ;
CT07;LA CASA DEL JUGUETE;AMÉRICA 45;MADRID;(912) 64- 99- 87;ELÍAS PÉREZ;
CT08;JUGUETERÍA SUÁREZ;PARIS 123;BARCELONA;(933) 45- 78- 66;JUAN GARCÍA;
CT09;ALMACÉN POPULAR;LAS FUENTES 124;BILBAO;(942) 34- 71- 27;JOSÉ ÁLVAREZ;
CT10;FERETERÍA EL CLAVO;PASEO DE ÁLAMOS 78;MADRID;(914) 35- 48- 66;MANUEL MENÉNDEZ;
CT11;JUGUETES MARTÍNEZ;VIA LAYETANA 245;BARCELONA;(936) 62- 85- 54;FRANCISCO CUEVAS;
CT12;FERNÁNDEZ SL;PASEO DEL MAR 45;SANTANDER;(942) 04- 95- 86;ELISA COLLADO;
CT13;CONFECCIONES ARTÍMEZ;GENERAL PERÓN 45;A CORUÑA;(981) 34- 52- 39;ESTEBAN PASCUAL;
CT14;DEPORTES GARCÍA;GUZMÁN EL BUENO 45;MADRID;(913) 29- 94- 75;ANA JIMÉNEZ;
CT15;EXCLUSIVAS FERNÁNDEZ;LLOBREGAT 250;BARCELONA;(939) 55- 83- 65;LUISA FERNÁNDEZ;
CT16;DEPORTES MORÁN;AUTONOMÍA 45;LUGO;(982) 98- 69- 44;JOSÉ MANZANO;
CT17;BAZAR FRANCISCO;CARMEN 45;ZAMORA;(980) 49- 52- 88;CARLOS BELTRÁN;
CT18;JUGUETES LA SONRISA;LA BAÑEZA 67;LEÓN;(987) 94- 53- 68;FAUSTINO PÉREZ;
CT19;CONFECCIONES GALÁN;FUENCARRAL 78;MADRID;(913) 85- 92- 34;JUAN GARCÍA;
CT20;LA CURTIDORA;OLIVARES 3;MÁLAGA;(953) 75- 62- 59;MARÍA GÓMEZ;
CT21;LÍNEA JOVEN;SIERPES 78;SEVILLA;(953) 45- 25- 67;ASUNCIÓN SALADO;
CT22;BAZAR EL BARAT;DIAGONAL 56;BARCELONA;(936) 69- 28- 66;ELISA DAPENA;
CT23;EL PALACIO DE LA MODA;ORTEGA Y GASSET 129;MADRID;(927) 78- 52- 35;LAURA CARRASCO;
CT24;SÁEZ Y CÍA;INFANTA MERCEDS 23;SEVILLA;(954) 86- 92- 34;MANUEL GUERRA;
CT25;DEPORTES EL MADRILEÑO;CASTILLA 345;ZARAGOZA;(976) 38- 89- 34;CARLOS GONZÁLEZ;
CT26;FERRETERÍA LA ESCOBA;ORENSE 7;MADRID;(918) 45- 93- 46;JOSÉ GARCÍA;
CT27;JUGUETES EL BARATO;VÍA AUGUSTA 245;BARCELONA;(933) 48- 69- 84;ELVIRA IGLESIAS;
CT28;CONFECCIONES HERMINIA;CORRIDA 345;GIJÓN;(985) 59- 73- 15;ABEL GONZÁLEZ;
CT30;BAZAR EL ARGENTINO;ATOCHA 55;MADRID;(912) 49- 59- 73;ADRIÁN ÁLVAREZ;
CT31;LA TIENDA ELEGANTE;EL COMENDADOR 67;ZARAGOZA;(975) 69- 40- 35;JOSÉ PASCUAL;
CT32;DEPORTES NAUTICOS GARCÍA;JUAN FERNÁNDEZ 89;ÁVILA;(920) 26- 86- 48;JUAN CONRADO;
CT33;CONFECCIONES RUIZ;LLOBREGAT 345;BARCELONA;(934) 58- 76- 15;CARLOS SANZ;
CT34;BAZAR LA FARAONA;CASTILLA Y LEÓN 34;MADRID;(915) 48- 36- 27;ANGEL SANTAMARÍA;
CT35;FERRETERÍA EL MARTILLO;CASTELLANOS 205;SALAMANCA;(923) 54- 89- 65;JOAQUÍN FERNANDEZ;
CT36;JUGUETES EDUCATIVOS SANZ;ORENSE 89;MADRID;(916) 87- 23- 54;PEDRO IGLESIAS;
CT37;ALMACENES FERNANDEZ;ANTÓN 67;TERUEL;(978) 56- 40- 25;MARIA ARDANZA;
CT38;CONFECCIONES MÓNICA;MOTORES 67;BARCELONA;(935) 68- 12- 45;PEDRO SERRANO;
CT39;FERRETERÍA LIMA;VALLECAS 45;MADRID;(913) 53- 27- 85;LUIS GARCÍA;
CT40;DEPORTES EL BRASILEÑO;ABEL MARTÍNEZ 67;SALAMANCA;(921) 54- 87- 62;CARLOS GÓMEZ;
